Ref,Val,Package,PosX,PosY,Rot,Side
"J1","","Molex_SlimStack_54722-0804_2x40_P0.50mm_Vertical",-188.000000,-4.000000,0.000000,top
"J2","","Molex_SlimStack_54722-0804_2x40_P0.50mm_Vertical",-188.000000,-472.100000,0.000000,top
